date,tmin,day_of_year,month,day_of_week,sin_doy,cos_doy,lag1,lag2,lag7,lag30,roll7,roll30,vol_7,diff1
2018-01-27,73.0,27,1,5,0.4482293417404106,0.893918596519257,74.0,76.0,70.0,71.0,72.85714285714286,72.53333333333333,2.03540097839663,-1.0
2018-01-28,74.0,28,1,6,0.4635502709028509,0.886070621534138,73.0,74.0,71.0,70.0,73.28571428571429,72.66666666666667,1.8898223650463213,1.0
2018-01-29,73.0,29,1,0,0.47873384011578846,0.8779600847008882,74.0,73.0,70.0,71.0,73.71428571428571,72.73333333333333,1.2535663410562494,-1.0
2018-01-30,75.0,30,1,1,0.4937755501599772,0.869589389346611,73.0,74.0,72.0,72.0,74.14285714285714,72.83333333333333,1.0690449676499125,2.0
2018-01-31,74.0,31,1,2,0.5086709438521044,0.8609610158889943,75.0,73.0,74.0,73.0,74.14285714285714,72.86666666666666,1.0690449676499125,-1.0
2018-02-01,75.0,32,2,3,0.5234156073655503,0.8520775211013093,74.0,75.0,76.0,72.0,74.0,72.96666666666667,0.816496580928033,1.0
2018-02-02,74.0,33,2,4,0.5380051715382996,0.8429415373547828,75.0,74.0,74.0,74.0,74.0,72.96666666666667,0.816496580928033,-1.0
2018-02-03,72.0,34,2,5,0.5524353131676196,0.8335557718385699,74.0,75.0,73.0,73.0,73.85714285714286,72.93333333333334,1.0690449676499525,-2.0
2018-02-04,73.0,35,2,6,0.5667017562911176,0.8239230057575542,72.0,74.0,74.0,73.0,73.71428571428571,72.93333333333334,1.1126972805286384,1.0
2018-02-05,74.0,36,2,0,0.5808002734538009,0.8140460935082178,73.0,72.0,73.0,71.0,73.85714285714286,73.03333333333333,1.0690449676499525,1.0
2018-02-06,76.0,37,2,1,0.5947266869607634,0.8039279618328213,74.0,73.0,75.0,72.0,74.0,73.16666666666667,1.2909944487359977,2.0
2018-02-07,76.0,38,2,2,0.6084768701151261,0.7935716089521474,76.0,74.0,74.0,72.0,74.28571428571429,73.3,1.4960264830863244,0.0
2018-02-08,75.0,39,2,3,0.6220467484408675,0.7829801036770628,76.0,76.0,75.0,69.0,74.28571428571429,73.5,1.4960264830863244,-1.0
2018-02-09,76.0,40,2,4,0.6354323008901774,0.7721565844991642,75.0,76.0,74.0,74.0,74.57142857142857,73.56666666666666,1.6183471874254656,1.0
2018-03-13,76.0,72,3,1,0.9455963874271426,0.3253420847119801,76.0,75.0,76.0,75.0,75.85714285714286,74.5,0.6900655593423806,0.0
2018-03-14,76.0,73,3,2,0.9510565162951535,0.30901699437494745,76.0,76.0,75.0,74.0,76.0,74.56666666666666,0.5773502691896282,0.0
2018-03-15,76.0,74,3,3,0.9562348265919056,0.29260033563334836,76.0,76.0,76.0,75.0,76.0,74.6,0.5773502691896282,0.0
2018-03-16,76.0,75,3,4,0.9611297838723007,0.27609697309746883,76.0,76.0,77.0,74.0,75.85714285714286,74.66666666666667,0.377964473009276,0.0
2018-03-17,79.0,76,3,5,0.9657399376548549,0.2595117970697999,76.0,76.0,76.0,74.0,76.28571428571429,74.83333333333333,1.25356634105599,3.0
2018-03-18,77.0,77,3,6,0.9700639218515071,0.2428497220959356,79.0,76.0,75.0,76.0,76.57142857142857,74.86666666666666,1.1338934190276195,-2.0
2018-03-19,76.0,78,3,0,0.9741004551724205,0.22611568550828828,77.0,79.0,76.0,73.0,76.57142857142857,74.96666666666667,1.1338934190276195,-1.0
2018-03-20,76.0,79,3,1,0.9778483415056568,0.20931464596304847,76.0,77.0,76.0,73.0,76.57142857142857,75.06666666666666,1.1338934190276195,0.0
2018-03-21,78.0,80,3,2,0.9813064702716093,0.19245158197082998,76.0,76.0,76.0,73.0,76.85714285714286,75.23333333333333,1.2149857925878222,2.0
2018-03-22,77.0,81,3,3,0.9844738167520922,0.1755314904214282,78.0,76.0,76.0,72.0,77.0,75.4,1.15470053837914,-1.0
2018-03-23,78.0,82,3,4,0.9873494423939864,0.15855938510313478,77.0,78.0,76.0,72.0,77.28571428571429,75.6,1.1126972805282205,1.0
2018-03-24,79.0,83,3,5,0.989932495087353,0.141540295217043,78.0,77.0,79.0,71.0,77.28571428571429,75.86666666666666,1.1126972805282205,1.0
2018-03-25,79.0,84,3,6,0.9922222094179323,0.12447926388678915,79.0,78.0,77.0,73.0,77.57142857142857,76.06666666666666,1.2724180205605393,0.0
2018-03-26,77.0,85,3,0,0.994217906893952,0.10738134666416309,79.0,79.0,76.0,73.0,77.71428571428571,76.2,1.1126972805281692,-2.0
2018-03-27,79.0,86,3,1,0.995918996147179,0.09025161003104117,77.0,79.0,76.0,73.0,78.14285714285714,76.4,0.8997354108421242,2.0
2018-03-28,78.0,87,3,2,0.9973249731081555,0.07309512989807777,79.0,77.0,78.0,75.0,78.14285714285714,76.5,0.8997354108421242,-1.0
