"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-25","0.04","91","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-26","0.00","91","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-27",,"91","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-28","0.16","90","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-29","0.01",,"73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-30","0.00","92","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-01-31",,"96","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-01",,,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-02",,"94","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-03",,"93","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-04",,"93","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-05",,"92","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-06",,"90","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-07",,"91","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-08",,"91","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-09",,"91","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-10",,"92",
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-11",,"92","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-12",,,"74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-13",,"92","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-14",,"92","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-15",,"95","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-16",,"95","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-17",,"94","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-18",,"92","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-19",,"95","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-20",,"91","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-21",,"90","72"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-22",,,"71"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-23",,"94","73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-24",,,"73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-25",,,"73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-26",,"95","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-27",,"92","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-02-28",,"94","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-01",,"94","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-02",,"93","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-03",,,"73"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-04",,"94","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-05",,"94","74"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-06",,"96","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-07",,"92","75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-08",,,"76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-09",,,"77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-10",,,"76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-11",,,"75"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-12","0.02","96","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-13","0.08","96","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-14","0.16",,"76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-15","0.00","95","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-16",,"94","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-17","0.01",,"79"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-18","0.00","95","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-19","0.20","93","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-20","0.00","93","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-21",,"92","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-22",,,"77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-23",,"95","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-24",,,"79"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-25",,"96","79"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-26",,"93","77"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-27",,"94","79"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-28",,"94","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-29",,,"79"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-30",,,"81"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-03-31",,"97","80"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-01",,"95","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-02",,"95","76"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-03",,"95","80"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-04","0.00","95","78"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-05",,"95","79"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-06",,"95","79"
"IN010100400","THIRUVANANTHAPURAM, IN","2018-04-07","0.00","95","80"
